year,sector_id,number_of_jobs,cid
2008,1,12857,49
2009,1,12380,49
2010,1,12677,49
2011,1,13159,49
2012,1,13821,49
2013,1,14802,49
2014,1,15808,49
2015,1,16784,49
2016,1,17795,49
2017,1,18690,49
2018,1,19867,49
2019,1,20309,49
2020,1,17956,49
2021,1,19959,49
2022,1,20877,49
2023,1,23103,49
2024,1,24443,49
2025,1,24946,49
2026,1,25269,49
2027,1,25560,49
2028,1,25945,49
2029,1,26540,49
2030,1,27502,49
2031,1,27224,49
2032,1,27327,49
2033,1,27437,49
2034,1,27696,49
2035,1,27967,49
2036,1,28133,49
2037,1,28437,49
2038,1,28509,49
2039,1,28660,49
2040,1,28847,49
2041,1,29264,49
2042,1,29704,49
2043,1,30237,49
2044,1,30751,49
2045,1,31340,49
2046,1,31843,49
2047,1,32453,49
2048,1,33115,49
2049,1,33714,49
2050,1,34098,49
2051,1,34452,49
2052,1,34745,49
2053,1,35050,49
2054,1,35365,49
2055,1,35685,49
2056,1,36046,49
2057,1,36410,49
2058,1,36769,49
2059,1,37122,49
2060,1,37494,49
1990,1,4457,57
1991,1,4571,57
1992,1,4709,57
1993,1,4797,57
1994,1,5253,57
1995,1,5472,57
1996,1,5771,57
1997,1,6189,57
1998,1,6278,57
1999,1,6348,57
2000,1,6423,57
2001,1,6426,57
2002,1,6341,57
2003,1,6681,57
2004,1,6837,57
2005,1,6893,57
2006,1,6998,57
2007,1,7166,57
2008,1,7142,57
2009,1,7073,57
2010,1,6888,57
2011,1,6831,57
2012,1,7096,57
2013,1,7345,57
2014,1,7361,57
2015,1,7801,57
2016,1,7865,57
2017,1,8308,57
2018,1,8316,57
2019,1,8488,57
2020,1,7568,57
2021,1,8079,57
2022,1,8198,57
2023,1,8960,57
2024,1,9391,57
2025,1,9471,57
2026,1,9503,57
2027,1,9535,57
2028,1,9593,57
2029,1,9677,57
2030,1,9924,57
2031,1,9730,57
2032,1,9667,57
2033,1,9615,57
2034,1,9612,57
2035,1,9625,57
2036,1,9603,57
2037,1,9630,57
2038,1,9582,57
2039,1,9561,57
2040,1,9540,57
2041,1,9608,57
2042,1,9676,57
2043,1,9774,57
2044,1,9866,57
2045,1,9976,57
2046,1,10064,57
2047,1,10192,57
2048,1,10338,57
2049,1,10463,57
2050,1,10528,57
2051,1,10597,57
2052,1,10638,57
2053,1,10677,57
2054,1,10716,57
2055,1,10756,57
2056,1,10801,57
2057,1,10846,57
2058,1,10890,57
2059,1,10936,57
2060,1,10978,57
1990,2,3860,11
1991,2,4184,11
1992,2,4630,11
1993,2,5310,11
1994,2,6366,11
1995,2,6485,11
1996,2,7231,11
1997,2,8152,11
1998,2,8467,11
1999,2,8994,11
2000,2,9067,11
2001,2,9145,11
2002,2,8657,11
2003,2,8920,11
2004,2,9667,11
2005,2,10726,11
2006,2,12034,11
2007,2,12956,11
2008,2,11606,11
2009,2,9737,11
2010,2,8956,11
2011,2,9016,11
2012,2,9362,11
2013,2,9717,11
2014,2,10596,11
2015,2,11372,11
2016,2,12283,11
2017,2,12635,11
2018,2,13266,11
2019,2,13618,11
2020,2,13970,11
2021,2,14883,11
2022,2,15134,11
2023,2,15524,11
2024,2,15736,11
2025,2,15974,11
2026,2,16211,11
2027,2,16596,11
2028,2,16963,11
2029,2,17449,11
2030,2,17544,11
2031,2,17809,11
2032,2,18107,11
2033,2,18475,11
2034,2,18923,11
2035,2,19402,11
2036,2,19926,11
2037,2,20493,11
2038,2,21090,11
2039,2,21683,11
2040,2,22267,11
2041,2,22931,11
2042,2,23566,11
2043,2,24182,11
2044,2,24831,11
2045,2,25519,11
2046,2,26248,11
2047,2,26974,11
2048,2,27681,11
2049,2,28375,11
2050,2,29054,11
2051,2,29757,11
2052,2,30179,11
2053,2,30619,11
2054,2,31024,11
2055,2,31433,11
2056,2,31857,11
2057,2,32259,11
2058,2,32664,11
2059,2,33074,11
2060,2,33413,11
1990,2,21034,35
1991,2,22548,35
1992,2,23726,35
1993,2,26162,35
1994,2,31818,35
1995,2,33586,35
1996,2,36508,35
1997,2,39174,35
1998,2,40523,35
1999,2,41880,35
2000,2,41611,35
2001,2,41605,35
2002,2,38365,35
2003,2,38589,35
2004,2,39746,35
2005,2,43726,35
2006,2,49808,35
2007,2,52856,35
2008,2,48422,35
2009,2,40709,35
2010,2,38368,35
2011,2,37874,35
2012,2,38799,35
2013,2,39126,35
2014,2,40132,35
2015,2,41896,35
2016,2,44728,35
2017,2,47133,35
2018,2,49236,35
2019,2,52061,35
2020,2,52405,35
2021,2,55515,35
2022,2,55850,35
2023,2,56820,35
2024,2,57610,35
2025,2,58882,35
2026,2,60111,35
2027,2,61879,35
2028,2,63575,35
2029,2,65529,35
2030,2,66169,35
2031,2,67471,35
2032,2,68833,35
2033,2,70365,35
2034,2,72172,35
2035,2,73975,35
2036,2,75918,35
2037,2,78034,35
2038,2,80209,35
2039,2,82344,35
2040,2,84428,35
2041,2,86677,35
2042,2,88835,35
2043,2,90956,35
2044,2,93185,35
2045,2,95629,35
2046,2,98279,35
2047,2,101012,35
2048,2,103732,35
2049,2,106419,35
2050,2,109209,35
2051,2,111991,35
2052,2,113857,35
2053,2,115837,35
2054,2,117681,35
2055,2,119543,35
2056,2,121440,35
2057,2,123185,35
2058,2,124933,35
2059,2,126619,35
2060,2,128113,35
1990,2,5047,49
1991,2,6279,49
1992,2,7487,49
1993,2,8299,49
1994,2,9559,49
1995,2,12106,49
1996,2,12660,49
1997,2,12704,49
1998,2,13371,49
1999,2,13979,49
2000,2,14052,49
2001,2,14696,49
2002,2,14578,49
2003,2,14629,49
2004,2,15857,49
2005,2,18161,49
2006,2,21249,49
2007,2,23726,49
2008,2,19874,49
2009,2,15713,49
2010,2,14293,49
2011,2,14973,49
2012,2,16872,49
2013,2,19340,49
2014,2,20822,49
2015,2,23037,49
2016,2,25971,49
2017,2,27625,49
2018,2,29809,49
2019,2,30190,49
2020,2,30543,49
2021,2,33125,49
2022,2,33755,49
2023,2,34522,49
2024,2,35232,49
2025,2,36245,49
2026,2,37069,49
2027,2,38081,49
2028,2,39050,49
2029,2,40237,49
2030,2,40594,49
2031,2,41269,49
2032,2,42024,49
2033,2,42922,49
2034,2,43970,49
2035,2,45048,49
2036,2,46180,49
2037,2,47437,49
2038,2,48727,49
2039,2,49994,49
2040,2,51289,49
2041,2,52656,49
2042,2,54014,49
2043,2,55387,49
2044,2,56856,49
2045,2,58435,49
2046,2,60141,49
2047,2,61907,49
2048,2,63675,49
2049,2,65490,49
2050,2,67351,49
2051,2,69221,49
2052,2,70550,49
2053,2,71956,49
2054,2,73311,49
2055,2,74722,49
2056,2,76214,49
2057,2,77652,49
2058,2,79144,49
2059,2,80665,49
2060,2,82177,49
1990,2,3147,57
1991,2,3248,57
1992,2,3745,57
1993,2,4095,57
1994,2,5248,57
1995,2,5410,57
1996,2,6023,57
1997,2,6762,57
1998,2,6936,57
1999,2,6516,57
2000,2,6594,57
2001,2,6596,57
2002,2,6393,57
2003,2,6560,57
2004,2,6927,57
2005,2,7657,57
2006,2,8580,57
2007,2,9394,57
2008,2,8034,57
2009,2,6689,57
2010,2,5993,57
2011,2,5818,57
2012,2,6194,57
2013,2,6447,57
2014,2,6948,57
2015,2,7256,57
2016,2,7566,57
2017,2,8099,57
2018,2,8723,57
2019,2,8970,57
2020,2,10129,57
2021,2,10767,57
2022,2,10304,57
2023,2,10097,57
2024,2,9888,57
2025,2,9821,57
2026,2,9860,57
2027,2,10046,57
2028,2,10269,57
2029,2,10549,57
2030,2,10634,57
2031,2,10816,57
2032,2,11010,57
2033,2,11237,57
2034,2,11492,57
2035,2,11775,57
2036,2,12075,57
2037,2,12403,57
2038,2,12743,57
2039,2,13082,57
2040,2,13418,57
2041,2,13795,57
2042,2,14152,57
2043,2,14498,57
2044,2,14862,57
2045,2,15246,57
2046,2,15655,57
2047,2,16070,57
2048,2,16480,57
2049,2,16886,57
2050,2,17306,57
2051,2,17733,57
2052,2,18004,57
2053,2,18269,57
2054,2,18519,57
2055,2,18780,57
2056,2,19053,57
2057,2,19312,57
2058,2,19569,57
2059,2,19816,57
2060,2,20029,57
1990,3,21144,11
1991,3,20817,11
1992,3,20598,11
1993,3,20864,11
1994,3,22103,11
1995,3,22270,11
1996,3,23346,11
1997,3,24745,11
1998,3,25331,11
1999,3,26238,11
2000,3,27661,11
2001,3,29130,11
2002,3,30561,11
2003,3,30476,11
2004,3,31068,11
2005,3,31702,11
2006,3,32036,11
2007,3,31903,11
2008,3,31940,11
2009,3,32547,11
2010,3,33319,11
2011,3,34810,11
2012,3,34463,11
2013,3,34812,11
2014,3,34999,11
2015,3,35547,11
2016,3,37120,11
2017,3,38873,11
2018,3,39880,11
2019,3,40714,11
2020,3,40553,11
2021,3,41588,11
2022,3,42398,11
2023,3,42994,11
2024,3,43458,11
2025,3,43622,11
2026,3,43852,11
2027,3,44272,11
2028,3,44707,11
2029,3,45123,11
2030,3,45653,11
2031,3,45787,11
2032,3,46125,11
2033,3,46376,11
2034,3,46640,11
2035,3,46894,11
2036,3,47200,11
2037,3,47523,11
2038,3,47862,11
2039,3,48189,11
2040,3,48721,11
2041,3,48829,11
2042,3,49179,11
2043,3,49562,11
2044,3,49956,11
2045,3,50314,11
2046,3,50693,11
2047,3,51077,11
2048,3,51475,11
2049,3,51867,11
2050,3,52480,11
2051,3,52686,11
2052,3,53115,11
2053,3,53556,11
2054,3,54011,11
2055,3,54471,11
2056,3,54926,11
2057,3,55383,11
2058,3,55854,11
2059,3,56326,11
2060,3,57024,11
1990,3,60646,35
1991,3,62509,35
1992,3,63089,35
1993,3,67896,35
1994,3,70188,35
1995,3,73349,35
1996,3,77722,35
1997,3,81206,35
1998,3,84565,35
1999,3,86404,35
2000,3,91158,35
2001,3,97520,35
2002,3,99520,35
2003,3,100842,35
2004,3,102694,35
2005,3,104612,35
2006,3,105969,35
2007,3,107650,35
2008,3,110852,35
2009,3,112974,35
2010,3,115225,35
2011,3,117804,35
2012,3,120061,35
2013,3,122883,35
2014,3,125601,35
2015,3,127642,35
2016,3,131514,35
2017,3,135468,35
2018,3,137822,35
2019,3,140817,35
2020,3,136756,35
2021,3,139352,35
2022,3,144955,35
2023,3,148144,35
2024,3,149569,35
2025,3,149763,35
2026,3,150731,35
2027,3,153556,35
2028,3,155481,35
2029,3,157393,35
2030,3,159133,35
2031,3,161398,35
2032,3,162899,35
2033,3,164162,35
2034,3,166399,35
2035,3,167638,35
2036,3,168951,35
2037,3,171094,35
2038,3,172505,35
2039,3,174034,35
2040,3,175673,35
2041,3,176927,35
2042,3,178423,35
2043,3,180043,35
2044,3,181650,35
2045,3,183152,35
2046,3,184676,35
2047,3,186265,35
2048,3,187874,35
2049,3,189449,35
2050,3,191207,35
2051,3,192588,35
2052,3,194092,35
2053,3,195627,35
2054,3,197174,35
2055,3,198692,35
2056,3,200233,35
2057,3,201797,35
2058,3,203365,35
2059,3,204960,35
2060,3,206812,35
1990,3,22561,49
1991,3,23662,49
1992,3,23920,49
1993,3,24814,49
1994,3,27009,49
1995,3,28014,49
1996,3,29883,49
1997,3,31523,49
1998,3,35243,49
1999,3,35041,49
2000,3,37108,49
2001,3,38738,49
2002,3,40687,49
2003,3,40548,49
2004,3,41781,49
2005,3,43662,49
2006,3,45507,49
2007,3,47290,49
2008,3,47568,49
2009,3,48388,49
2010,3,49268,49
2011,3,50177,49
2012,3,51137,49
2013,3,50664,49
2014,3,51160,49
2015,3,51847,49
2016,3,53440,49
2017,3,55944,49
2018,3,56973,49
2019,3,58344,49
2020,3,54867,49
2021,3,57452,49
2022,3,62672,49
2023,3,64361,49
2024,3,64973,49
2025,3,64969,49
2026,3,65385,49
2027,3,66403,49
2028,3,67484,49
2029,3,68530,49
2030,3,69355,49
2031,3,70093,49
2032,3,70742,49
2033,3,71239,49
2034,3,71883,49
2035,3,72454,49
2036,3,73081,49
2037,3,73790,49
2038,3,74555,49
2039,3,75444,49
2040,3,76373,49
2041,3,77249,49
2042,3,78298,49
2043,3,79428,49
2044,3,80616,49
2045,3,81722,49
2046,3,82836,49
2047,3,83953,49
2048,3,85071,49
2049,3,86191,49
2050,3,87273,49
2051,3,88306,49
2052,3,89387,49
2053,3,90498,49
2054,3,91617,49
2055,3,92754,49
2056,3,93877,49
2057,3,95013,49
2058,3,96122,49
2059,3,97195,49
2060,3,98260,49
1990,3,16307,57
1991,3,16585,57
1992,3,16541,57
1993,3,16756,57
1994,3,17680,57
1995,3,18383,57
1996,3,19493,57
1997,3,19833,57
1998,3,19848,57
1999,3,20737,57
2000,3,20984,57
2001,3,20992,57
2002,3,22246,57
2003,3,22139,57
2004,3,21873,57
2005,3,22168,57
2006,3,22487,57
2007,3,22847,57
2008,3,23076,57
2009,3,23176,57
2010,3,23433,57
2011,3,23459,57
2012,3,23443,57
2013,3,22754,57
2014,3,22336,57
2015,3,22275,57
2016,3,22514,57
2017,3,23029,57
2018,3,23204,57
2019,3,24091,57
2020,3,23239,57
2021,3,23457,57
2022,3,24184,57
2023,3,24686,57
2024,3,25016,57
2025,3,25050,57
2026,3,25146,57
2027,3,25317,57
2028,3,25440,57
2029,3,25580,57
2030,3,25739,57
2031,3,25722,57
2032,3,25814,57
2033,3,25880,57
2034,3,25948,57
2035,3,26040,57
2036,3,26149,57
2037,3,26257,57
2038,3,26383,57
2039,3,26505,57
2040,3,26707,57
2041,3,26725,57
2042,3,26841,57
2043,3,26970,57
2044,3,27097,57
2045,3,27216,57
2046,3,27344,57
2047,3,27480,57
2048,3,27622,57
2049,3,27767,57
2050,3,28006,57
2051,3,28076,57
2052,3,28232,57
2053,3,28387,57
2054,3,28546,57
2055,3,28703,57
2056,3,28864,57
2057,3,29025,57
2058,3,29196,57
2059,3,29375,57
2060,3,29645,57
1990,4,6279,11
1991,4,6183,11
1992,4,6116,11
1993,4,6196,11
1994,4,6564,11
1995,4,6612,11
1996,4,6931,11
1997,4,7347,11
1998,4,7521,11
1999,4,7791,11
2000,4,8213,11
2001,4,8648,11
2002,4,8814,11
2003,4,9232,11
2004,4,9407,11
2005,4,9639,11
2006,4,9989,11
2007,4,10158,11
2008,4,10605,11
2009,4,10980,11
2010,4,11351,11
2011,4,11847,11
2012,4,12248,11
2013,4,12801,11
2014,4,13051,11
2015,4,13373,11
2016,4,13928,11
2017,4,14745,11
2018,4,15292,11
2019,4,15859,11
2020,4,15348,11
2021,4,16209,11
2022,4,16732,11
2023,4,17441,11
2024,4,18042,11
2025,4,18496,11
2026,4,18929,11
2027,4,19385,11
2028,4,19830,11
2029,4,20307,11
2030,4,20685,11
2031,4,21175,11
2032,4,21703,11
2033,4,22188,11
2034,4,22682,11
2035,4,23088,11
2036,4,23512,11
2037,4,23928,11
2038,4,24362,11
2039,4,24788,11
2040,4,25231,11
2041,4,25653,11
2042,4,26042,11
2043,4,26413,11
2044,4,26827,11
2045,4,27255,11
2046,4,27718,11
2047,4,28172,11
2048,4,28629,11
2049,4,29089,11
2050,4,29507,11
2051,4,29955,11
2052,4,30392,11
2053,4,30845,11
2054,4,31303,11
2055,4,31767,11
2056,4,32239,11
2057,4,32706,11
2058,4,33116,11
2059,4,33498,11
2060,4,33837,11
1990,4,28661,35
1991,4,29542,35
1992,4,29816,35
1993,4,32092,35
1994,4,33171,35
1995,4,34668,35
1996,4,36730,35
1997,4,38378,35
1998,4,39969,35
1999,4,40838,35
2000,4,43089,35
2001,4,46102,35
2002,4,47321,35
2003,4,48604,35
2004,4,49908,35
2005,4,51525,35
2006,4,52872,35
2007,4,55871,35
2008,4,58264,35
2009,4,59803,35
2010,4,60915,35
2011,4,61514,35
2012,4,62589,35
2013,4,64494,35
2014,4,64869,35
2015,4,67318,35
2016,4,69965,35
2017,4,71414,35
2018,4,72255,35
2019,4,73790,35
2020,4,72079,35
2021,4,75297,35
2022,4,76728,35
2023,4,79975,35
2024,4,82573,35
2025,4,84332,35
2026,4,86174,35
2027,4,88232,35
2028,4,90177,35
2029,4,92248,35
2030,4,93942,35
2031,4,96048,35
2032,4,98538,35
2033,4,100649,35
2034,4,102924,35
2035,4,104627,35
2036,4,106434,35
2037,4,108159,35
2038,4,109973,35
2039,4,111691,35
2040,4,113552,35
2041,4,115191,35
2042,4,116741,35
2043,4,118239,35
2044,4,119889,35
2045,4,121641,35
2046,4,123520,35
2047,4,125367,35
2048,4,127257,35
2049,4,129109,35
2050,4,130863,35
2051,4,132518,35
2052,4,134189,35
2053,4,135868,35
2054,4,137582,35
2055,4,139270,35
2056,4,141007,35
2057,4,142699,35
2058,4,144170,35
2059,4,145502,35
2060,4,146760,35
1990,4,8716,49
1991,4,9142,49
1992,4,9241,49
1993,4,9587,49
1994,4,10433,49
1995,4,10821,49
1996,4,11544,49
1997,4,12178,49
1998,4,13617,49
1999,4,13535,49
2000,4,14336,49
2001,4,14966,49
2002,4,15583,49
2003,4,16419,49
2004,4,17164,49
2005,4,17788,49
2006,4,18521,49
2007,4,19802,49
2008,4,20567,49
2009,4,20996,49
2010,4,21720,49
2011,4,22691,49
2012,4,23476,49
2013,4,24802,49
2014,4,25467,49
2015,4,26912,49
2016,4,28307,49
2017,4,29510,49
2018,4,31504,49
2019,4,32846,49
2020,4,32187,49
2021,4,34004,49
2022,4,35211,49
2023,4,37008,49
2024,4,38450,49
2025,4,39507,49
2026,4,40509,49
2027,4,41517,49
2028,4,42515,49
2029,4,43677,49
2030,4,44610,49
2031,4,45688,49
2032,4,46913,49
2033,4,48031,49
2034,4,49170,49
2035,4,50106,49
2036,4,51072,49
2037,4,52018,49
2038,4,52993,49
2039,4,53955,49
2040,4,55070,49
2041,4,56057,49
2042,4,57025,49
2043,4,57940,49
2044,4,58949,49
2045,4,59993,49
2046,4,61094,49
2047,4,62162,49
2048,4,63272,49
2049,4,64422,49
2050,4,65577,49
2051,4,66730,49
2052,4,67900,49
2053,4,69046,49
2054,4,70182,49
2055,4,71329,49
2056,4,72447,49
2057,4,73483,49
2058,4,74414,49
2059,4,75259,49
2060,4,76094,49
1990,4,7583,57
1991,4,7713,57
1992,4,7690,57
1993,4,7792,57
1994,4,8220,57
1995,4,8547,57
1996,4,9063,57
1997,4,9221,57
1998,4,9228,57
1999,4,9639,57
2000,4,9754,57
2001,4,9758,57
2002,4,10109,57
2003,4,10402,57
2004,4,10648,57
2005,4,10739,57
2006,4,11579,57
2007,4,11792,57
2008,4,12290,57
2009,4,12352,57
2010,4,12499,57
2011,4,12741,57
2012,4,12958,57
2013,4,13219,57
2014,4,13474,57
2015,4,14020,57
2016,4,14210,57
2017,4,14235,57
2018,4,14578,57
2019,4,14724,57
2020,4,14637,57
2021,4,14932,57
2022,4,15045,57
2023,4,15681,57
2024,4,16186,57
2025,4,16505,57
2026,4,16803,57
2027,4,17113,57
2028,4,17391,57
2029,4,17636,57
2030,4,17854,57
2031,4,18128,57
2032,4,18438,57
2033,4,18709,57
2034,4,18981,57
2035,4,19195,57
2036,4,19414,57
2037,4,19623,57
2038,4,19843,57
2039,4,20053,57
2040,4,20287,57
2041,4,20486,57
2042,4,20660,57
2043,4,20819,57
2044,4,21007,57
2045,4,21209,57
2046,4,21433,57
2047,4,21662,57
2048,4,21892,57
2049,4,22126,57
2050,4,22344,57
2051,4,22565,57
2052,4,22778,57
2053,4,22992,57
2054,4,23214,57
2055,4,23427,57
2056,4,23649,57
2057,4,23864,57
2058,4,24043,57
2059,4,24202,57
2060,4,24338,57
1990,5,7451,11
1991,5,7500,11
1992,5,7701,11
1993,5,8211,11
1994,5,8798,11
1995,5,9193,11
1996,5,9668,11
1997,5,9695,11
1998,5,9860,11
1999,5,10063,11
2000,5,10060,11
2001,5,10169,11
2002,5,10360,11
2003,5,10567,11
2004,5,10921,11
2005,5,11020,11
2006,5,11188,11
2007,5,11684,11
2008,5,10714,11
2009,5,9361,11
2010,5,9316,11
2011,5,10447,11
2012,5,11136,11
2013,5,11580,11
2014,5,12032,11
2015,5,12774,11
2016,5,12625,11
2017,5,12887,11
2018,5,14536,11
2019,5,14769,11
2020,5,14559,11
2021,5,14738,11
2022,5,14751,11
2023,5,15347,11
2024,5,15837,11
2025,5,16089,11
2026,5,16318,11
2027,5,16529,11
2028,5,16668,11
2029,5,16894,11
2030,5,17034,11
2031,5,17191,11
2032,5,17315,11
2033,5,17491,11
2034,5,17669,11
2035,5,17642,11
2036,5,17615,11
2037,5,17591,11
2038,5,17597,11
2039,5,17585,11
2040,5,17527,11
2041,5,17481,11
2042,5,17528,11
2043,5,17550,11
2044,5,17572,11
2045,5,17586,11
2046,5,17546,11
2047,5,17441,11
2048,5,17327,11
2049,5,17208,11
2050,5,17049,11
2051,5,16935,11
2052,5,16903,11
2053,5,16894,11
2054,5,16898,11
2055,5,16893,11
2056,5,16857,11
2057,5,16826,11
2058,5,16795,11
2059,5,16768,11
2060,5,16728,11
1990,5,52083,35
1991,5,52385,35
1992,5,53219,35
1993,5,54947,35
1994,5,57180,35
1995,5,59657,35
1996,5,62273,35
1997,5,63361,35
1998,5,65370,35
1999,5,65909,35
2000,5,66336,35
2001,5,54484,35
2002,5,51028,35
2003,5,50108,35
2004,5,51196,35
2005,5,52007,35
2006,5,54387,35
2007,5,57084,35
2008,5,56621,35
2009,5,52046,35
2010,5,51704,35
2011,5,52827,35
2012,5,54113,35
2013,5,54417,35
2014,5,54411,35
2015,5,55376,35
2016,5,56609,35
2017,5,57931,35
2018,5,58712,35
2019,5,59851,35
2020,5,58960,35
2021,5,61337,35
2022,5,61387,35
2023,5,63216,35
2024,5,64358,35
2025,5,65041,35
2026,5,65725,35
2027,5,66489,35
2028,5,66952,35
2029,5,67866,35
2030,5,68434,35
2031,5,69043,35
2032,5,69789,35
2033,5,70668,35
2034,5,71700,35
2035,5,71755,35
2036,5,71849,35
2037,5,71977,35
2038,5,72225,35
2039,5,72427,35
2040,5,72482,35
2041,5,72493,35
2042,5,72920,35
2043,5,73250,35
2044,5,73555,35
2045,5,73849,35
2046,5,73892,35
2047,5,73656,35
2048,5,73362,35
2049,5,73026,35
2050,5,72549,35
2051,5,72135,35
2052,5,72103,35
2053,5,72162,35
2054,5,72264,35
2055,5,72319,35
2056,5,72247,35
2057,5,72194,35
2058,5,72149,35
2059,5,72101,35
2060,5,72077,35
1990,5,16397,49
1991,5,16752,49
1992,5,15673,49
1993,5,16006,49
1994,5,17769,49
1995,5,19153,49
1996,5,20553,49
1997,5,21365,49
1998,5,18417,49
1999,5,20964,49
2000,5,21742,49
2001,5,20243,49
2002,5,17811,49
2003,5,17163,49
2004,5,17726,49
2005,5,18139,49
2006,5,19351,49
2007,5,20364,49
2008,5,19910,49
2009,5,17840,49
2010,5,17040,49
2011,5,17366,49
2012,5,18067,49
2013,5,19137,49
2014,5,19399,49
2015,5,19284,49
2016,5,19419,49
2017,5,20224,49
2018,5,21061,49
2019,5,21610,49
2020,5,21527,49
2021,5,22590,49
2022,5,22810,49
2023,5,23547,49
2024,5,23970,49
2025,5,24291,49
2026,5,24556,49
2027,5,24787,49
2028,5,24950,49
2029,5,25340,49
2030,5,25570,49
2031,5,25765,49
2032,5,25974,49
2033,5,26280,49
2034,5,26622,49
2035,5,26653,49
2036,5,26712,49
2037,5,26802,49
2038,5,26957,49
2039,5,27116,49
2040,5,27244,49
2041,5,27341,49
2042,5,27625,49
2043,5,27876,49
2044,5,28136,49
2045,5,28387,49
2046,5,28546,49
2047,5,28590,49
2048,5,28613,49
2049,5,28622,49
2050,5,28566,49
2051,5,28519,49
2052,5,28629,49
2053,5,28768,49
2054,5,28922,49
2055,5,29052,49
2056,5,29134,49
2057,5,29202,49
2058,5,29267,49
2059,5,29322,49
2060,5,29376,49
1990,5,10870,57
1991,5,11042,57
1992,5,11127,57
1993,5,11150,57
1994,5,11983,57
1995,5,12907,57
1996,5,14225,57
1997,5,14623,57
1998,5,14606,57
1999,5,13960,57
2000,5,14127,57
2001,5,14132,57
2002,5,12433,57
2003,5,11998,57
2004,5,12136,57
2005,5,12020,57
2006,5,12164,57
2007,5,12887,57
2008,5,13222,57
2009,5,12105,57
2010,5,11941,57
2011,5,12304,57
2012,5,12523,57
2013,5,12853,57
2014,5,13384,57
2015,5,14118,57
2016,5,15113,57
2017,5,14790,57
2018,5,14537,57
2019,5,15238,57
2020,5,14156,57
2021,5,15465,57
2022,5,15879,57
2023,5,16206,57
2024,5,16346,57
2025,5,16617,57
2026,5,16855,57
2027,5,17051,57
2028,5,17247,57
2029,5,17600,57
2030,5,17778,57
2031,5,18002,57
2032,5,18183,57
2033,5,18427,57
2034,5,18677,57
2035,5,18731,57
2036,5,18787,57
