year,sector_id,number_of_jobs,cid
1990,1,4312,11
1991,1,4515,11
1992,1,4672,11
1993,1,4975,11
1994,1,5382,11
1995,1,5596,11
1996,1,6029,11
1997,1,6239,11
1998,1,6526,11
1999,1,6522,11
2000,1,6809,11
2001,1,6480,11
2002,1,6543,11
2003,1,6558,11
2004,1,6818,11
2005,1,7031,11
2006,1,7382,11
2007,1,7578,11
2008,1,7822,11
2009,1,7753,11
2010,1,7850,11
2011,1,8226,11
2012,1,8317,11
2013,1,8627,11
2014,1,9043,11
2015,1,9459,11
2016,1,9810,11
2017,1,10266,11
2018,1,10788,11
2019,1,10863,11
2020,1,9480,11
2021,1,10395,11
2022,1,10777,11
2023,1,11744,11
2024,1,12275,11
2025,1,12428,11
2026,1,12512,11
2027,1,12602,11
2028,1,12732,11
2029,1,12934,11
2030,1,13321,11
2031,1,13128,11
2032,1,13105,11
2033,1,13095,11
2034,1,13151,11
2035,1,13215,11
2036,1,13237,11
2037,1,13329,11
2038,1,13317,11
2039,1,13343,11
2040,1,13364,11
2041,1,13516,11
2042,1,13663,11
2043,1,13849,11
2044,1,14027,11
2045,1,14238,11
2046,1,14411,11
2047,1,14636,11
2048,1,14884,11
2049,1,15099,11
2050,1,15216,11
2051,1,15344,11
2052,1,15424,11
2053,1,15502,11
2054,1,15574,11
2055,1,15647,11
2056,1,15724,11
2057,1,15800,11
2058,1,15873,11
2059,1,15940,11
2060,1,15998,11
1990,1,26146,35
1991,1,26478,35
1992,1,27554,35
1993,1,28567,35
1994,1,31633,35
1995,1,33175,35
1996,1,34655,35
1997,1,35644,35
1998,1,35988,35
1999,1,36133,35
2000,1,36350,35
2001,1,38662,35
2002,1,40047,35
2003,1,39539,35
2004,1,39797,35
2005,1,40106,35
2006,1,41245,35
2007,1,42735,35
2008,1,43370,35
2009,1,41960,35
2010,1,41939,35
2011,1,42974,35
2012,1,44510,35
2013,1,46891,35
2014,1,48538,35
2015,1,50176,35
2016,1,51275,35
2017,1,52420,35
2018,1,54271,35
2019,1,56206,35
2020,1,49669,35
2021,1,54075,35
2022,1,55212,35
2023,1,60323,35
2024,1,63339,35
2025,1,63854,35
2026,1,64164,35
2027,1,64601,35
2028,1,65222,35
2029,1,66208,35
2030,1,68180,35
2031,1,67159,35
2032,1,67039,35
2033,1,66960,35
2034,1,67250,35
2035,1,67526,35
2036,1,67606,35
2037,1,68003,35
2038,1,67883,35
2039,1,67938,35
2040,1,67998,35
2041,1,68641,35
2042,1,69298,35
2043,1,70167,35
2044,1,70975,35
2045,1,71965,35
2046,1,72765,35
2047,1,73840,35
2048,1,75038,35
2049,1,76063,35
2050,1,76651,35
2051,1,77209,35
2052,1,77600,35
2053,1,77976,35
2054,1,78355,35
2055,1,78721,35
2056,1,79129,35
2057,1,79525,35
2058,1,79924,35
2059,1,80313,35
2060,1,80717,35
1990,1,6132,49
1991,1,6283,49
1992,1,6695,49
1993,1,6820,49
1994,1,7512,49
1995,1,7919,49
1996,1,8563,49
1997,1,9043,49
1998,1,9334,49
1999,1,9916,49
2000,1,9942,49
2001,1,10259,49
2002,1,10789,49
2003,1,10856,49
2004,1,11238,49
2005,1,11600,49
2006,1,11938,49
2007,1,12559,49
