parcel_id_remm,year,parcel_acres,taz_id,taz_share,units,retail_jobspaces,retail_sqft,office_jobspaces,office_sqft,industrial_jobspaces,industrial_sqft,dev_type
27170,2040,2.23,1517,0.174,87,0,0,0,0,0,0,G
27170,2045,2.23,1517,0.174,87,0,0,422,105475,0,0,G
29630,2025,3.709,1520,0.108,41,0,0,2,381,0,0,G
29630,2030,3.709,1520,0.108,17,0,0,31,7850,0,0,G
29781,2040,1,1522,0.053,9,0,0,0,0,0,0,G
29781,2045,1,1522,0.053,19,5,2164,23,5761,0,0,G
29782,2035,1,1524,0.13,9,0,0,0,0,0,0,G
29782,2040,1,1524,0.13,0,29,11734,0,0,0,0,G
29782,2045,1,1524,0.13,0,12,4819,176,44082,0,0,G
29783,2035,1,1526,0.054,3,34,13764,1,176,0,0,G
29783,2040,1,1526,0.054,0,0,0,146,36477,0,0,G
29784,2035,1,1526,0.054,3,34,13764,1,176,0,0,G
29784,2040,1,1526,0.054,0,0,0,146,36477,0,0,G
29788,2025,6.826,1382,0.242,0,0,0,56,13960,0,0,G
29788,2030,6.826,1382,0.242,0,0,0,0,0,37,36829,G
29788,2035,6.826,1382,0.242,101,0,0,0,0,0,0,G
29788,2045,6.826,1382,0.242,0,94,37623,0,0,0,0,G
29789,2025,1,1381,0.023,0,0,0,3,635,4,4031,G
29789,2030,1,1381,0.023,4,0,0,0,0,4,3620,G
29789,2040,1,1381,0.023,0,2,745,0,0,0,0,G
29789,2045,1,1381,0.023,0,2,776,0,0,0,0,G
29808,2035,1,2992,0.132,0,20,8191,0,0,0,0,G
29808,2045,1,2992,0.132,4,0,0,0,0,0,0,G
29809,2030,1,2993,0.037,0,0,0,18,4440,0,0,G
29809,2035,1,2993,0.037,6,0,0,0,0,0,0,G
29809,2040,1,2993,0.037,9,0,0,0,0,0,0,G
29809,2045,1,2993,0.037,5,0,0,0,0,0,0,G
29810,2030,1,2997,0.059,4,1,545,0,0,0,0,G
29810,2035,1,2997,0.059,0,19,7764,0,0,0,0,G
30996,2025,2.189,1540,0.165,0,4,1798,0,0,0,0,G
30996,2030,2.189,1540,0.165,0,0,0,54,13536,0,0,G
30997,2025,2.34,1540,0.176,0,5,1922,0,0,0,0,G
30997,2030,2.34,1540,0.176,0,0,0,58,14471,0,0,G
30998,2025,1.361,1540,0.103,0,3,1118,0,0,0,0,G
30998,2030,1.361,1540,0.103,0,0,0,34,8416,0,0,G
30999,2025,2.921,1540,0.22,0,6,2399,0,0,0,0,G
30999,2030,2.921,1540,0.22,0,0,0,72,18065,0,0,G
31059,2025,4.456,1520,0.13,49,0,0,2,458,0,0,G
31059,2030,4.456,1520,0.13,20,0,0,38,9431,0,0,G
33986,2045,3.623,1521,0.197,42,122,48851,520,130090,0,0,G
35402,2025,2.451,1532,0.266,6,91,36254,0,0,0,0,G
35402,2030,2.451,1532,0.266,0,57,22586,0,0,0,0,G
35402,2035,2.451,1532,0.266,0,0,0,241,60147,0,0,G
35454,2030,89.429,1518,1,500,0,0,0,0,0,0,G
35454,2035,89.429,1518,1,500,0,0,800,199906,0,0,G
35454,2040,89.429,1518,1,0,0,0,2720,680000,0,0,G
35454,2045,89.429,1518,1,0,0,0,480,120074,0,0,G
35455,2030,2.968,1528,0.322,10,25,10121,0,0,0,0,G
35455,2035,2.968,1528,0.322,0,80,31785,446,111598,0,0,G
53437,2025,1.209,1540,0.091,0,2,993,0,0,0,0,G
53437,2030,1.209,1540,0.091,0,0,0,30,7478,0,0,G
53438,2025,1.389,1540,0.105,0,3,1141,0,0,0,0,G
53438,2030,1.389,1540,0.105,0,0,0,34,8589,0,0,G
53439,2025,1.137,1540,0.086,0,2,933,0,0,0,0,G
53439,2030,1.137,1540,0.086,0,0,0,28,7028,0,0,G
55485,2025,11.572,1533,1,353,0,0,0,0,0,0,G
55485,2030,11.572,1533,1,0,44,17413,101,25348,0,0,G
55485,2035,11.572,1533,1,0,0,0,464,116025,0,0,G
60391,2045,2.786,1521,0.151,32,94,37563,400,100032,0,0,G
60479,2045,0.484,1521,0.026,6,16,6530,70,17389,0,0,G
61141,2025,0.229,1382,0.008,0,0,0,2,469,0,0,G
61141,2030,0.229,1382,0.008,0,0,0,0,0,1,1238,G
61141,2035,0.229,1382,0.008,3,0,0,0,0,0,0,G
61141,2045,0.229,1382,0.008,0,3,1265,0,0,0,0,G
61719,2025,0.277,1535,0.042,4,4,1591,0,0,0,0,G
61719,2030,0.277,1535,0.042,0,0,103,18,4509,0,0,G
61723,2030,0.449,1528,0.049,2,4,1530,0,0,0,0,G
61723,2035,0.449,1528,0.049,0,12,4806,68,16874,0,0,G
61741,2025,0.822,1520,0.024,9,0,0,0,85,0,0,G
61741,2030,0.822,1520,0.024,4,0,0,7,1740,0,0,G
67087,2035,0.149,2992,0.02,0,3,1224,0,0,0,0,G
67087,2045,0.149,2992,0.02,1,0,0,0,0,0,0,G
67117,2025,0.717,1540,0.054,0,1,589,0,0,0,0,G
67117,2030,0.717,1540,0.054,0,0,0,18,4434,0,0,G
67225,2025,2.177,1520,0.063,24,0,0,1,224,0,0,G
67225,2030,2.177,1520,0.063,10,0,0,18,4607,0,0,G
67646,2025,1.316,1520,0.038,14,0,0,1,135,0,0,G
67646,2030,1.316,1520,0.038,6,0,0,11,2785,0,0,G
67647,2025,1.987,1520,0.058,22,0,0,1,204,0,0,G
67647,2030,1.987,1520,0.058,9,0,0,17,4205,0,0,G
67648,2025,1.881,1520,0.055,21,0,0,1,193,0,0,G
67648,2030,1.881,1520,0.055,9,0,0,16,3982,0,0,G
67650,2025,1.639,1520,0.048,18,0,0,1,168,0,0,G
67650,2030,1.639,1520,0.048,8,0,0,14,3468,0,0,G
67779,2025,1.477,1539,0.19,37,27,10822,0,0,0,0,G
67779,2030,1.477,1539,0.19,0,0,0,115,28819,0,0,G
67780,2025,0.813,1539,0.105,20,15,5960,0,0,0,0,G
67780,2030,0.813,1539,0.105,0,0,0,63,15872,0,0,G
67781,2025,0.812,1539,0.104,20,15,5949,0,0,0,0,G
67781,2030,0.812,1539,0.104,0,0,0,63,15843,0,0,G
67782,2025,0.889,1541,0.11,10,26,10355,99,24728,0,0,G
67782,2030,0.889,1541,0.11,0,0,0,11,2849,0,0,G
67783,2025,0.688,1541,0.085,8,20,8014,77,19136,0,0,G
67783,2030,0.688,1541,0.085,0,0,0,9,2205,0,0,G
67784,2025,0.994,1541,0.123,11,29,11579,111,27650,0,0,G
67784,2030,0.994,1541,0.123,0,0,0,13,3185,0,0,G
67898,2025,1.748,1530,0.15,53,0,0,0,0,0,0,G
67898,2030,1.748,1530,0.15,0,7,2629,0,0,0,0,G
67898,2035,1.748,1530,0.15,0,0,0,28,7001,0,0,G
68073,2025,1.113,1539,0.143,28,20,8153,0,0,0,0,G
68073,2030,1.113,1539,0.143,0,0,0,87,21711,0,0,G
68074,2025,0.945,1539,0.121,23,17,6926,0,0,0,0,G
68074,2030,0.945,1539,0.121,0,0,0,74,18444,0,0,G
68075,2025,0.593,1539,0.076,15,11,4345,0,0,0,0,G
68075,2030,0.593,1539,0.076,0,0,0,46,11570,0,0,G
68076,2025,1.177,1541,0.145,13,34,13708,131,32735,0,0,G
68076,2030,1.177,1541,0.145,0,0,0,15,3771,0,0,G
68077,2025,0.706,1541,0.087,8,21,8229,79,19650,0,0,G
68077,2030,0.706,1541,0.087,0,0,0,9,2264,0,0,G
68282,2025,0.593,1539,0.076,15,11,4345,0,0,0,0,G
68282,2030,0.593,1539,0.076,0,0,0,46,11569,0,0,G
68283,2025,1.164,1541,0.144,13,34,13563,130,32388,0,0,G
68283,2030,1.164,1541,0.144,0,0,0,15,3731,0,0,G
68284,2025,0.699,1541,0.086,8,20,8141,78,19441,0,0,G
68284,2030,0.699,1541,0.086,0,0,0,9,2240,0,0,G
68341,2025,6.908,1530,0.59,209,0,0,0,0,0,0,G
68341,2030,6.908,1530,0.59,0,26,10340,0,0,0,0,G
68341,2035,6.908,1530,0.59,0,0,0,110,27537,0,0,G
68574,2025,1,1535,0.152,14,14,5741,0,0,0,0,G
68574,2030,1,1535,0.152,0,1,370,65,16273,0,0,G
68876,2025,1.699,1529,0.227,11,0,0,0,0,0,0,G
68876,2030,1.699,1529,0.227,15,20,7772,0,0,0,0,G
68876,2035,1.699,1529,0.227,0,0,0,83,20697,0,0,G
68877,2025,0.986,1532,0.107,2,36,14579,0,0,0,0,G
68877,2030,0.986,1532,0.107,0,23,9083,0,0,0,0,G
