parcel_id_remm,year,parcel_acres,taz_id,taz_share,units,retail_jobspaces,retail_sqft,office_jobspaces,office_sqft,industrial_jobspaces,industrial_sqft,dev_type
68877,2035,0.986,1532,0.107,0,0,0,97,24188,0,0,G
69522,2025,0.841,1381,0.019,0,0,0,2,535,3,3393,G
69522,2030,0.841,1381,0.019,3,0,0,0,0,3,3047,G
69522,2040,0.841,1381,0.019,0,2,627,0,0,0,0,G
69522,2045,0.841,1381,0.019,0,2,653,0,0,0,0,G
213932,2025,0.354,1520,0.01,4,0,0,0,36,0,0,G
213932,2030,0.354,1520,0.01,2,0,0,3,749,0,0,G
213970,2040,1.443,1517,0.113,56,0,0,0,0,0,0,G
213970,2045,1.443,1517,0.113,56,0,0,273,68265,0,0,G
213981,2040,0.445,1517,0.035,17,0,0,0,0,0,0,G
213981,2045,0.445,1517,0.035,17,0,0,84,21050,0,0,G
457155,2025,0.289,1541,0.036,3,8,3367,32,8041,0,0,G
457155,2030,0.289,1541,0.036,0,0,0,4,926,0,0,G
457156,2025,0.606,1541,0.075,7,18,7057,67,16853,0,0,G
457156,2030,0.606,1541,0.075,0,0,0,8,1942,0,0,G
457158,2025,0.272,1541,0.034,3,8,3166,30,7560,0,0,G
457158,2030,0.272,1541,0.034,0,0,0,3,871,0,0,G
457161,2025,0.271,1539,0.035,7,5,1987,0,0,0,0,G
457161,2030,0.271,1539,0.035,0,0,0,21,5291,0,0,G
457164,2025,0.604,1541,0.075,7,18,7043,67,16818,0,0,G
457164,2030,0.604,1541,0.075,0,0,0,8,1938,0,0,G
457178,2025,1.166,1539,0.15,29,21,8545,0,0,0,0,G
457178,2030,1.166,1539,0.15,0,0,0,91,22754,0,0,G
720178,2040,5.171,1384,0.2,100,38,15000,0,0,0,0,G
720178,2045,5.171,1384,0.2,0,50,20000,0,0,0,0,G
720179,2040,5.171,1384,0.2,100,38,15000,0,0,0,0,G
720179,2045,5.171,1384,0.2,0,50,20000,0,0,0,0,G
720180,2040,5.171,1384,0.2,100,38,15000,0,0,0,0,G
720180,2045,5.171,1384,0.2,0,50,20000,0,0,0,0,G
720181,2040,5.171,1384,0.2,100,38,15000,0,0,0,0,G
720181,2045,5.171,1384,0.2,0,50,20000,0,0,0,0,G
720182,2040,5.171,1384,0.2,100,38,15000,0,0,0,0,G
720182,2045,5.171,1384,0.2,0,50,20000,0,0,0,0,G
720183,2040,5.171,1385,0.2,0,69,27420,0,0,0,0,G
720183,2045,5.171,1385,0.2,100,19,7580,0,0,0,0,G
720184,2040,5.171,1385,0.2,0,69,27420,0,0,0,0,G
720184,2045,5.171,1385,0.2,100,19,7580,0,0,0,0,G
720185,2040,5.171,1385,0.2,0,69,27420,0,0,0,0,G
720185,2045,5.171,1385,0.2,100,19,7580,0,0,0,0,G
720186,2040,5.171,1385,0.2,0,69,27420,0,0,0,0,G
720186,2045,5.171,1385,0.2,100,19,7580,0,0,0,0,G
720187,2040,5.171,1385,0.2,0,69,27420,0,0,0,0,G
720187,2045,5.171,1385,0.2,100,19,7580,0,0,0,0,G
720333,2030,5.775,1519,0.333,45,0,0,317,79142,0,0,G
720333,2035,5.775,1519,0.333,0,0,0,533,133365,0,0,G
720333,2045,5.775,1519,0.333,0,125,50000,0,0,0,0,G
720334,2030,5.775,1519,0.333,45,0,0,317,79142,0,0,G
720334,2035,5.775,1519,0.333,0,0,0,533,133365,0,0,G
720334,2045,5.775,1519,0.333,0,125,50000,0,0,0,0,G
720335,2030,5.775,1519,0.333,45,0,0,317,79142,0,0,G
720335,2035,5.775,1519,0.333,0,0,0,533,133365,0,0,G
720335,2045,5.775,1519,0.333,0,125,50000,0,0,0,0,G
720336,2045,5.2,1521,0.282,60,175,70115,747,186717,0,0,G
720337,2040,5.2,1522,0.276,46,0,0,0,0,0,0,G
720337,2045,5.2,1522,0.276,97,28,11255,120,29971,0,0,G
720897,2030,5.229,1527,0.25,250,0,0,0,0,0,0,G
720897,2035,5.229,1527,0.25,13,9,3649,39,9717,0,0,G
720898,2035,5.229,1523,0.2,171,0,0,0,0,0,0,G
720898,2040,5.229,1523,0.2,186,0,0,0,0,0,0,G
720899,2030,5.229,1527,0.25,250,0,0,0,0,0,0,G
720899,2035,5.229,1527,0.25,13,9,3649,39,9717,0,0,G
720900,2030,5.229,1527,0.25,250,0,0,0,0,0,0,G
720900,2035,5.229,1527,0.25,13,9,3649,39,9717,0,0,G
720901,2030,5.229,1527,0.25,250,0,0,0,0,0,0,G
720901,2035,5.229,1527,0.25,13,9,3649,39,9717,0,0,G
720902,2035,5.229,1523,0.2,171,0,0,0,0,0,0,G
720902,2040,5.229,1523,0.2,186,0,0,0,0,0,0,G
720903,2035,5.229,1523,0.2,171,0,0,0,0,0,0,G
720903,2040,5.229,1523,0.2,186,0,0,0,0,0,0,G
720904,2035,5.229,1523,0.2,171,0,0,0,0,0,0,G
720904,2040,5.229,1523,0.2,186,0,0,0,0,0,0,G
720905,2035,5.229,1523,0.2,171,0,0,0,0,0,0,G
720905,2040,5.229,1523,0.2,186,0,0,0,0,0,0,G
721653,2040,8.671,1517,0.678,339,0,0,0,0,0,0,G
721653,2045,8.671,1517,0.678,339,0,0,1641,410136,0,0,G
755451,2025,5.316,1520,0.155,58,0,0,2,547,0,0,G
755451,2030,5.316,1520,0.155,24,0,0,45,11252,0,0,G
755452,2025,5.316,1520,0.155,58,0,0,2,547,0,0,G
755452,2030,5.316,1520,0.155,24,0,0,45,11252,0,0,G
755453,2025,5.316,1520,0.155,58,0,0,2,547,0,0,G
755453,2030,5.316,1520,0.155,24,0,0,45,11252,0,0,G
755929,2045,6.325,1521,0.343,73,213,85295,908,227142,0,0,G
755930,2040,6.325,1522,0.336,56,0,0,0,0,0,0,G
755930,2045,6.325,1522,0.336,117,34,13691,146,36460,0,0,G
755931,2040,6.325,1522,0.336,56,0,0,0,0,0,0,G
755931,2045,6.325,1522,0.336,117,34,13691,146,36460,0,0,G
755932,2035,6.664,1525,0.369,21,6,2487,0,0,0,0,G
755932,2040,6.664,1525,0.369,0,277,110819,875,218815,0,0,G
755932,2045,6.664,1525,0.369,0,0,0,185,46306,0,0,G
755933,2035,6.664,1524,0.87,63,0,0,0,0,0,0,G
755933,2040,6.664,1524,0.87,0,196,78230,0,0,0,0,G
755933,2045,6.664,1524,0.87,0,80,32127,1176,293882,0,0,G
755934,2035,6.232,1525,0.345,20,6,2326,0,0,0,0,G
755934,2040,6.232,1525,0.345,0,259,103638,819,204637,0,0,G
755934,2045,6.232,1525,0.345,0,0,0,173,43306,0,0,G
755935,2035,6.232,1526,0.336,22,215,85813,4,1097,0,0,G
755935,2040,6.232,1526,0.336,0,0,0,910,227426,0,0,G
755936,2035,5.146,1525,0.285,17,5,1921,0,0,0,0,G
755936,2040,5.146,1525,0.285,0,214,85579,676,168978,0,0,G
755936,2045,5.146,1525,0.285,0,0,0,143,35760,0,0,G
755937,2035,5.146,1526,0.278,18,177,70860,4,906,0,0,G
755937,2040,5.146,1526,0.278,0,0,0,751,187796,0,0,G
755938,2035,5.146,1526,0.278,18,177,70860,4,906,0,0,G
755938,2040,5.146,1526,0.278,0,0,0,751,187795,0,0,G
755993,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755993,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755993,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755993,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755994,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755994,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755994,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755994,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755995,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755995,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755995,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755995,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755996,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755996,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755996,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755996,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755997,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755997,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755997,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755997,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755998,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755998,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755998,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755998,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
755999,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
755999,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
755999,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
755999,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
756000,2025,5.297,1382,0.188,0,0,0,43,10833,0,0,G
756000,2030,5.297,1382,0.188,0,0,0,0,0,29,28578,G
756000,2035,5.297,1382,0.188,78,0,0,0,0,0,0,G
756000,2045,5.297,1382,0.188,0,73,29194,0,0,0,0,G
756001,2025,5.297,1382,0.188,0,0,0,43,10833,0,0,G
756001,2030,5.297,1382,0.188,0,0,0,0,0,29,28578,G
756001,2035,5.297,1382,0.188,78,0,0,0,0,0,0,G
756001,2045,5.297,1382,0.188,0,73,29194,0,0,0,0,G
756002,2025,5.297,1382,0.188,0,0,0,43,10833,0,0,G
756002,2030,5.297,1382,0.188,0,0,0,0,0,29,28578,G
756002,2035,5.297,1382,0.188,78,0,0,0,0,0,0,G
756002,2045,5.297,1382,0.188,0,73,29194,0,0,0,0,G
756003,2025,5.297,1381,0.12,0,0,0,13,3367,21,21363,G
756003,2030,5.297,1381,0.12,20,0,0,0,0,19,19182,G
756003,2040,5.297,1381,0.12,0,10,3946,0,0,0,0,G
756003,2045,5.297,1381,0.12,0,10,4113,0,0,0,0,G
756004,2025,5.297,1382,0.188,0,0,0,43,10833,0,0,G
756004,2030,5.297,1382,0.188,0,0,0,0,0,29,28578,G
756004,2035,5.297,1382,0.188,78,0,0,0,0,0,0,G
756004,2045,5.297,1382,0.188,0,73,29194,0,0,0,0,G
756043,2035,6.431,2992,0.848,0,132,52701,0,0,0,0,G
756043,2045,6.431,2992,0.848,24,0,0,0,0,0,0,G
756044,2030,5.265,2993,0.193,0,0,0,93,23160,0,0,G
756044,2035,5.265,2993,0.193,34,0,0,0,0,0,0,G
756044,2040,5.265,2993,0.193,48,0,0,0,0,0,0,G
756044,2045,5.265,2993,0.193,25,0,0,0,0,0,0,G
756045,2030,5.265,2993,0.193,0,0,0,93,23160,0,0,G
756045,2035,5.265,2993,0.193,34,0,0,0,0,0,0,G
756045,2040,5.265,2993,0.193,48,0,0,0,0,0,0,G
756045,2045,5.265,2993,0.193,25,0,0,0,0,0,0,G
756046,2030,5.265,2993,0.193,0,0,0,93,23160,0,0,G
756046,2035,5.265,2993,0.193,34,0,0,0,0,0,0,G
756046,2040,5.265,2993,0.193,48,0,0,0,0,0,0,G
756046,2045,5.265,2993,0.193,25,0,0,0,0,0,0,G
756047,2030,5.265,2993,0.193,0,0,0,93,23160,0,0,G
756047,2035,5.265,2993,0.193,34,0,0,0,0,0,0,G
756047,2040,5.265,2993,0.193,48,0,0,0,0,0,0,G
756047,2045,5.265,2993,0.193,25,0,0,0,0,0,0,G
756048,2030,5.265,2993,0.175,0,0,0,84,21000,0,0,G
756048,2035,5.265,2993,0.175,30,0,0,0,0,0,0,G
756048,2040,5.265,2993,0.175,44,0,0,0,0,0,0,G
756048,2045,5.265,2993,0.175,22,0,0,0,0,0,0,G
756049,2025,5.265,2994,0.5,0,36,14116,324,81000,0,0,G
756049,2030,5.265,2994,0.5,0,208,83218,0,0,0,0,G
756049,2035,5.265,2994,0.5,22,0,0,0,0,0,0,G
756050,2025,5.265,2994,0.5,0,36,14116,324,81000,0,0,G
756050,2030,5.265,2994,0.5,0,208,83218,0,0,0,0,G
756050,2035,5.265,2994,0.5,22,0,0,0,0,0,0,G
756051,2025,5.265,2995,0.5,0,152,60884,0,0,0,0,G
756051,2035,5.265,2995,0.5,21,0,0,0,0,0,0,G
756052,2025,5.265,2995,0.5,0,152,60884,0,0,0,0,G
756052,2035,5.265,2995,0.5,21,0,0,0,0,0,0,G
756053,2030,5.282,2996,0.5,63,0,0,0,0,0,0,G
756054,2030,5.282,2996,0.5,63,0,0,0,0,0,0,G
756055,2030,5.282,2997,0.314,20,7,2898,0,0,0,0,G
756055,2035,5.282,2997,0.314,1,103,41322,0,0,0,0,G
756056,2030,5.282,2997,0.314,20,7,2898,0,0,0,0,G
756056,2035,5.282,2997,0.314,1,103,41322,0,0,0,0,G
756057,2030,5.282,2997,0.314,20,7,2898,0,0,0,0,G
756057,2035,5.282,2997,0.314,1,103,41322,0,0,0,0,G
756058,2035,5.282,2998,0.333,23,109,43717,0,0,0,0,G
756058,2040,5.282,2998,0.333,0,67,26627,0,0,0,0,G
756059,2035,5.282,2998,0.333,23,109,43717,0,0,0,0,G
756059,2040,5.282,2998,0.333,0,67,26627,0,0,0,0,G
756060,2035,5.282,2998,0.333,23,109,43717,0,0,0,0,G
756060,2040,5.282,2998,0.333,0,67,26627,0,0,0,0,G
756340,2025,3.04,1530,0.26,92,0,0,0,0,0,0,G
756340,2030,3.04,1530,0.26,0,11,4557,0,0,0,0,G
756340,2035,3.04,1530,0.26,0,0,0,49,12135,0,0,G
756344,2025,5.314,1534,0.5,30,0,0,0,0,0,0,G
756344,2030,5.314,1534,0.5,0,131,52297,557,139268,0,0,G
756345,2025,5.314,1534,0.5,29,0,0,0,0,0,0,G
756345,2030,5.314,1534,0.5,0,130,52297,557,139267,0,0,G
756346,2025,5.314,1535,0.806,73,77,30521,0,0,0,0,G
756346,2030,5.314,1535,0.806,0,5,1967,346,86519,0,0,G
756358,2025,5.791,1531,0.5,87,0,0,0,0,0,0,G
756358,2030,5.791,1531,0.5,0,97,38912,0,0,0,0,G
756358,2035,5.791,1531,0.5,0,0,0,414,103625,0,0,G
756359,2025,5.791,1531,0.5,88,0,0,0,0,0,0,G
756359,2030,5.791,1531,0.5,0,98,38913,0,0,0,0,G
756359,2035,5.791,1531,0.5,0,0,0,415,103626,0,0,G
756360,2030,5.791,1528,0.629,20,49,19748,0,0,0,0,G
756360,2035,5.791,1528,0.629,0,155,62019,871,217747,0,0,G
756361,2025,5.791,1532,0.628,13,214,85667,0,0,0,0,G
756361,2030,5.791,1532,0.628,0,134,53370,0,0,0,0,G
756361,2035,5.791,1532,0.628,0,0,0,569,142126,0,0,G
756362,2025,5.791,1529,0.773,37,0,0,0,0,0,0,G
756362,2030,5.791,1529,0.773,53,66,26491,0,0,0,0,G
756362,2035,5.791,1529,0.773,0,0,0,282,70547,0,0,G
756633,2025,6.534,1380,0.5,0,0,0,41,10305,67,67087,G
756633,2030,6.534,1380,0.5,50,61,24667,0,0,0,0,G
756634,2025,6.534,1380,0.5,0,0,0,41,10305,67,67088,G
756634,2030,6.534,1380,0.5,50,62,24668,0,0,0,0,G
