parcel_id_remm,year,units,retail_jobspaces,retail_sqft,office_jobspaces,office_sqft,industrial_jobspaces,industrial_sqft,dev_type,notes
35183,2025,370,54,21600,1000,300000,0,0,G,
35183,2026,370,54,21600,1000,300000,0,0,G,
35183,2027,370,54,21600,1000,300000,0,0,G,
35183,2028,370,54,21600,1000,300000,0,0,G,
35183,2029,370,54,21600,1000,300000,0,0,G,
35183,2030,370,54,21600,1000,300000,0,0,G,
35183,2031,370,54,21600,1000,300000,0,0,G,
35183,2032,370,54,21600,1000,300000,0,0,G,
35183,2033,370,54,21600,1000,300000,0,0,G,
35183,2034,370,54,21600,1000,300000,0,0,G,
35183,2035,370,54,21600,1000,300000,0,0,G,
35183,2036,370,54,21600,1000,300000,0,0,G,
35183,2037,370,54,21600,1000,300000,0,0,G,
35183,2038,370,54,21600,1000,300000,0,0,G,
35183,2039,370,54,21600,1000,300000,0,0,G,
35183,2040,370,54,21600,1000,300000,0,0,G,
35183,2041,370,54,21600,1000,300000,0,0,G,
35183,2042,370,54,21600,1000,300000,0,0,G,
35183,2043,370,54,21600,1000,300000,0,0,G,
35183,2044,370,54,21600,1000,300000,0,0,G,
35183,2045,370,54,21600,1000,300000,0,0,G,
35183,2046,0,54,21600,1000,300000,0,0,G,
35183,2047,0,54,21600,1000,300000,0,0,G,
35183,2048,0,54,21600,1000,300000,0,0,G,
35183,2049,0,54,21600,1000,300000,0,0,G,
35183,2050,0,54,21600,1000,300000,0,0,G,
